,RegionID,SizeRank,RegionName,RegionType,StateName,31-01-2018,28-02-2018,31-03-2018,30-04-2018,31-05-2018,30-06-2018,31-07-2018,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021
10,394404,10,"Boston, MA",Msa,MA,541333.0,544667.0,565333.0,585000.0,598500.0,596133.0,579767.0,556600.0,539633,536000,535967,531300,528267,533300,549967,571666,589666,596333,594633,586633,579933,574967,574967,574453,574453,582453,597667,605967,614600,624600,641300,649633,649933.0,656600.0,662967.0,666000.0,665967.0,672933.0,684933.0,694300.0,697633.0,698967.0,692933.0,677933.0,668233.0,667933.0,674600.0,681267.0
11,395057,11,"San Francisco, CA",Msa,CA,807333.0,824000.0,857667.0,899667.0,924667.0,937933.0,921267.0,880600.0,850667,842333,838000,820000,799600,802933,830933,867333,900667,907629,904629,885963,885667,889000,895667,879000,862633,874633,899967,916333,924667,949000,982333,998333,998667.0,998901.0,999197.0,995864.0,991963.0,988667.0,988667.0,992000.0,994000.0,996000.0,980000.0,959858.0,936525.0,926525.0,914667.0,901883.0
12,394532,12,"Detroit, MI",Msa,MI,219933.0,218263.0,224630.0,237997.0,253000.0,263000.0,264633.0,259600.0,251600,244633,237967,231267,226567,226567,233265,246598,259932,269900,271267,267633,258667,248967,239300,231633,225667,223967,228100,234067,245600,261100,277767,286233,283233.0,278100.0,271467.0,264838.0,259971.0,261604.0,270687.0,283720.0,293720.0,298967.0,294300.0,284333.0,268333.0,255000.0,241633.0,229967.0
13,395025,13,"Riverside, CA",Msa,CA,390296.0,392963.0,396296.0,402667.0,406633.0,409967.0,409933.0,406633.0,403300,399966,399633,398633,398333,398663,402996,408329,415000,419967,423300,423300,420000,416667,415000,414833,414860,418193,423027,426333,428000,434667,446333,461333,471667.0,480000.0,485000.0,490000.0,491667.0,493333.0,494983.0,506650.0,520283.0,533633.0,541633.0,546300.0,549600.0,549933.0,549967.0,550000.0
14,394976,14,"Phoenix, AZ",Msa,AZ,339143.0,344921.0,353111.0,358515.0,361574.0,360180.0,356816.0,351716.0,348317,346278,345940,345940,347945,350664,354097,358549,362933,366332,366977,368027,369727,371460,373839,377204,383321,390088,396639,392187,387123,385983,396179,404675,407794.0,407826.0,407656.0,407656.0,408382.0,409276.0,415000.0,424967.0,438300.0,449967.0,459997.0,466995.0,471992.0,475295.0,479930.0,483267.0
15,395078,15,"Seattle, WA",Msa,WA,508316.0,528316.0,559983.0,584967.0,598300.0,599633.0,592817.0,581167.0,568150,564650,561983,561983,563983,578300,601633,626633,642483,644167,635833,624167,617165,615492,617658,621323,631313,647980,663617,663300,660283,659650,668300,669983,663317.0,651667.0,640000.0,636500.0,639833.0,654500.0,667983.0,684633.0,694967.0,701650.0,701650.0,694983.0,693317.0,690850.0,689183.0,682515.0
16,394865,16,"Minneapolis-St Paul, MN",Msa,MN,354454.0,371733.0,387316.0,392961.0,391229.0,383356.0,374699.0,367461.0,359787,355978,351095,351060,356566,368721,384304,392961,394692,387801,382506,373849,368620,361826,361445,361480,368409,379144,389512,392974,392974,392960,394657,392926,386035.0,377413.0,368790.0,368755.0,370825.0,378965.0,387002.0,391968.0,392290.0,387960.0,384627.0,379267.0,374233.0,369267.0,367550.0,369250.0
17,395056,17,"San Diego, CA",Msa,CA,704633.0,721300.0,735967.0,749333.0,749633.0,749633.0,742633.0,725967.0,706267,689933,681633,676667,676333,681329,692996,713296,732967,745967,747333,747333,747333,745667,742666,742666,746000,755967,769967,770300,770000,781333,814666,838300,836633.0,825672.0,812333.0,810666.0,813294.0,830000.0,841667.0,856333.0,856333.0,856000.0,849333.0,847667.0,846000.0,846000.0,847667.0,849667.0
18,395121,18,"St. Louis, MO",Msa,MO,197147.0,197595.0,203070.0,211713.0,220322.0,225488.0,226994.0,226684.0,226375,224868,221769,216913,213125,214813,223422,235474,245805,251005,251955,250234,248477,246115,242671,237540,235853,239297,245495,250936,257476,263640,268495,267982,266260.0,263867.0,260974.0,255499.0,251533.0,252120.0,257807.0,265000.0,265000.0,261667.0,254567.0,248200.0,241700.0,235133.0,230167.0,226967.0
19,395148,19,"Tampa, FL",Msa,FL,264551.0,264551.0,266218.0,269518.0,274451.0,277718.0,277686.0,274713.0,271445,268211,266250,263963,263310,263310,266577,272131,280123,285351,286952,285527,284188,283890,282257,280329,277715,277683,278826,278503,280136,283894,290428,296992,301356.0,305836.0,305451.0,303040.0,300541.0,299644.0,304997.0,314997.0,331630.0,346467.0,359767.0,368133.0,373300.0,378333.0,385000.0,393000.0
